product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.amazon.in/Arya-Z3-Black/dp/B00TS2GD2K,,,,,,Arya Z3 (Black)
http://www.amazon.in/Samsung-E1207T-Guru-Black/dp/B00CZ51GZG," 1,190.00",,,,,Samsung Guru E1207T (Black)
http://www.amazon.in/Sony-Xperia-Z-Ultra-Black/dp/B00E57TA50," 17,999.00,
    
        
        
            ,
                  
        
      
",,,,,Sony Xperia Z Ultra (Black)
http://www.amazon.in/T-Series-Mobiles-T12-T12_Black/dp/B00S6892RK," 679.00, 679.00",,,,,T-Series Mobiles T12_Black
http://www.amazon.in/Samsung-Galaxy-Star-SM-G130E-White/dp/B00M6T9NFQ," 4,260.00,
    
        
        
            ,
                  
        
      
",,,,,Samsung Galaxy Star 2 SM-G130E (White)
http://www.amazon.in/Lava-KKT-27-Grey/dp/B00P96ALJK,,,,,,Lava KKT 27+(Grey)
http://www.amazon.in/Samsung-GT-S5282-Star-Silver/dp/B00GLJALQ2," 4,449.00",,,,,Samsung Star GT-S5282 (Silver)
http://www.amazon.in/Karbonn-Titanium-S10-White/dp/B00RE3F3VW," 5,690.00",,,,,Karbonn Titanium S10 (White)
http://www.amazon.in/Intex-Aqua-Smart-Mobile-Phone/dp/B00RFQ1R8G,,,,,,Intex Aqua Y2 Pro Smart Mobile Phone - (Blue-Silver)
http://www.amazon.in/Forme-M90-Dual-Sim-Black/dp/B00KVG73Q2," 1,190.00",,,,,Forme M90 Dual Sim (Black )
http://www.amazon.in/BlackBerry-Q10-Pure-White/dp/B00CES5B96," 21,900.00, 21,900.00",,,,,BlackBerry Q10 (Pure White)
http://www.amazon.in/LG-G3-D855-Black-Gold/dp/B00KMUL26E," 41,000.00, 41,000.00",,,,,"LG G3 D855 (Black Gold, 32GB)"
http://www.amazon.in/Samsung-Galaxy-SM-N9000-Classic-White/dp/B00F84QLGA," 33,999.00, 33,999.00",,,,,Samsung Galaxy Note 3 SM-N9000 (Classic White)
http://www.amazon.in/Intex-Aqua-Y2-Blue/dp/B00M2NSOV0," 4,690.00, 4,690.00,
    ,
",,,,,Intex Aqua Y2 (Blue)
http://www.amazon.in/XOLO-A550S-White-Mobile-Phone/dp/B00NZ5ND4M," 4,400.00, 4,400.00",,,,,XOLO A550S IPS DUAL SIM 5MP CAM (White) Mobile Phone
http://www.amazon.in/Micromax-Canvas-Doodle-A102-White/dp/B00P2HZDOE," 7,500.00",,,,,"Micromax Canvas Doodle 3 A102 (White, 8GB)"
http://www.amazon.in/Gionee-M2-White-8GB/dp/B00M3RIOJW," 8,900.00",,,,,"Gionee M2 (White, 8GB)"
http://www.amazon.in/Sansui-R3-Black/dp/B00R96R0VA," 799.00, 799.00",,,,,Sansui R3 (Black)
http://www.amazon.in/Sansui-R1-Multimedia-Mobile-Phone/dp/B00TPE7J7O," 849.00, 849.00",,,,,Sansui R1 Full Multimedia Dual Sim Mobile Phone
