product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/intex-fame-301/p/itme4vrfurgmhxnk?pid=MOBE4VRFWN5GAJ98&ref=a8a6b929-d31e-4f90-adea-99c5676e3049&srno=b_1282,"Rs. 1,249",,,,Intex Fame 301
http://www.flipkart.com/intex-gc5070/p/itme2qnfukefyg8t?pid=MOBE2QNFXZMRSDZH&ref=a8a6b929-d31e-4f90-adea-99c5676e3049&srno=b_1301,"Rs. 2,650",,,,Intex GC5070
http://www.flipkart.com/moto-turbo/p/itme45h87vyhb3mg,"Rs. 41,999",,,,Moto Turbo
http://www.flipkart.com/xolo-opus-3/p/itme3fhjacmmf2cm?pid=MOBE3FHJNUXPSPTS&ref=c60d8361-ac01-4358-a4ca-6e6ae6518543&srno=b_1385,"Rs. 8,819",,,,Xolo Opus 3
http://www.flipkart.com/videocon-vstyle-smart/p/itme55fj7ztmgtgy?pid=MOBE55FJYUQ7YFKF&ref=eeeb0168-dab3-43d2-bffb-a618f4be4e56&srno=b_1321,"Rs. 2,099",,,,Videocon Vstyle Smart
http://www.flipkart.com/nokia-lumia-925/p/itme5hwvhd4abyyb?pid=MOBDNFQMNHXDSEQY&ref=9b35d8c4-b29a-4e13-8c59-be7496f5e6c3&srno=b_1427,"Rs. 19,999",,,,Nokia Lumia 925
http://www.flipkart.com/celkon-millennia/p/itme3vvkgmkzhegh?pid=MOBE3VVKMPVMJAF4&primarySection=SELLER_TABLE&ref=a05530ca-27ca-44a9-9a1b-2c6a9fb0363e&sellersSortedBy=PRICE&srno=b_1343,"Rs. 5,404",,,,Celkon Millennia
http://www.flipkart.com/videocon-v1393/p/itme44krw9z7gdxg?pid=MOBE44KRNKTXHFWF&primarySection=SELLER_TABLE&ref=6b8488d5-7fc8-49ed-b372-366f1683fa67&sellersSortedBy=PRICE&srno=b_1447,Rs. 999,,,,Videocon V1393
http://www.flipkart.com/trio-t2020l/p/itmdxywuvugm6gtj?pid=MOBDXYWUMGQNMVGB&ref=e635b328-8fb1-4b76-8698-7ec3df7f3f3b&srno=b_1406,Rs. 849,,,,Trio T2020L
http://www.flipkart.com/karbonn-smart-a5i/p/itme5hvxf8eauejh?pid=MOBDQQ9ZGA8DVPQG&ref=f7a621b2-e889-4353-ae5f-fe888107fa88&srno=b_1364,"Rs. 3,890",,,,Karbonn Smart A5i
http://www.flipkart.com/onida-s1800/p/itme2emy86grvdbp?pid=MOBE2EMYXQYTUFVS&ref=d089a293-c485-4a09-8d2b-979eb6e237c2&srno=b_1492,"Rs. 1,391",,,,Onida S1800
http://www.flipkart.com/spice-boss-m-5019/p/itmefnyd5qhzzcrc?pid=MOBEFNYDWMDNCS6D&ref=d089a293-c485-4a09-8d2b-979eb6e237c2&srno=b_1511,"Rs. 1,199",,,,Spice Boss M-5019
http://www.flipkart.com/philips-s388/p/itmdz4u56jut7chy?pid=MOBDZ4U5CSBV4QHH&ref=e635b328-8fb1-4b76-8698-7ec3df7f3f3b&srno=b_1405,"Rs. 5,385",,,,Philips S388
http://www.flipkart.com/karbonn-k715/p/itme5fgtafzyptha?pid=MOBEFYX3VSVMSGRB&ref=90dd9f92-857a-46fa-99c3-4eebfdc51aee&srno=b_1490,"Rs. 1,540",,,,Karbonn K715
http://www.flipkart.com/philips-s388/p/itmdz4u56jut7chy?pid=MOBDZ4U5CSBV4QHH&primarySection=SELLER_TABLE&ref=e635b328-8fb1-4b76-8698-7ec3df7f3f3b&sellersSortedBy=PRICE&srno=b_1405,"Rs. 5,385",,,,Philips S388
http://www.flipkart.com/intex-aqua-slice-kitkat/p/itmeysnnnqzwgrgh?pid=MOBEYSNNBMFNRBZD&primarySection=SELLER_TABLE&ref=620c70a1-4659-4072-835f-fcfa4a6d1fdd&sellersSortedBy=PRICE&srno=b_1469,"Rs. 6,749",,,,Intex Aqua Slice Kitkat
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/intex-boom-2/p/itme4vrfb7dqwjgf?pid=MOBE4VRFGUZKQZVP&ref=a33eb846-edf6-4014-a329-34852f175644&srno=b_1554,"Rs. 1,588",,,,Intex Boom 2
http://www.flipkart.com/intex-aqua-slice-kitkat/p/itmeysnnnqzwgrgh?pid=MOBEYSNNBMFNRBZD&ref=620c70a1-4659-4072-835f-fcfa4a6d1fdd&srno=b_1469,"Rs. 6,749",,,,Intex Aqua Slice Kitkat
http://www.flipkart.com/celkon-c49/p/itmdvn5fpbyzeesm?pid=MOBDVN5FAPSHHCTF&ref=1956dd05-4ee5-40dc-8633-bcb7cbea58a4&srno=b_1513,"Rs. 1,599",,,,Celkon C49
http://www.flipkart.com/lg-optimus-l7-ii-p715/p/itme5hwhv9hjacrp?pid=MOBDJEXHUYA5YBSY&ref=a33eb846-edf6-4014-a329-34852f175644&srno=b_1572,"Rs. 10,480",,,,LG Optimus L7 II P715
http://www.flipkart.com/maxcell-m110/p/itme45sjkmzhhztp?pid=MOBE45SJSZ7GGMXP&ref=a33eb846-edf6-4014-a329-34852f175644&srno=b_1571,Rs. 789,,,,Maxcell M110
http://www.flipkart.com/lg-optimus-l7-ii-p715/p/itme5hwhv9hjacrp?pid=MOBDJEXHUYA5YBSY&primarySection=SELLER_TABLE&ref=a33eb846-edf6-4014-a329-34852f175644&sellersSortedBy=PRICE&srno=b_1572,"Rs. 10,480",,,,LG Optimus L7 II P715
http://www.flipkart.com/xolo-lt900/p/itmdrmh5ahecgg5z?pid=MOBDRMH4SBYNBF2U&primarySection=SELLER_TABLE&ref=a33eb846-edf6-4014-a329-34852f175644&sellersSortedBy=PRICE&srno=b_1573,"Rs. 7,898",,,,XOLO LT900
http://www.flipkart.com/lava-arc-111/p/itme3m7x8pnuepgy?pid=MOBDU5Q6HU8BR8GE&ref=a33eb846-edf6-4014-a329-34852f175644&srno=b_1569,"Rs. 1,999",,,,Lava Arc 111
