product_url,product_price,product_specs,product_desc,product_tag,product_pmode,product_name
http://www.flipkart.com/micromax-canvas-nitro-a310/p/itme5hw7hpajxnhf?pid=MOBEY7ZMSGMDRKMA&primarySection=SELLER_TABLE&ref=3a6778a5-23ca-41ce-be27-46cfb63be861&sellersSortedBy=PRICE&srno=b_146,"Rs. 12,750",,,(White),,Micromax Canvas Nitro A310
http://www.flipkart.com/micromax-unite-a092/p/itme5mwhzy9zweh7?pid=MOBDX8MGXS3HN58F&primarySection=SELLER_TABLE&ref=449303f9-4142-4c8e-b04c-0ea8eace128e&sellersSortedBy=PRICE&srno=b_188,"Rs. 5,000",,,(White),,Micromax Unite A092
http://www.flipkart.com/nokia-107/p/itme3m7xkn2b8mvz?pid=MOBDPXERCZFXTPHR&ref=e8c3d7fd-cb74-425d-84b4-08d163ed3fe4&srno=b_104,"Rs. 2,499",,,(Black),,Nokia 107
http://www.flipkart.com/moto-g-2nd-gen/p/itme5hvrdxnyzsy4?pid=MOBDYGZ6SHNB7RFC&ref=5c188856-bdcb-431e-ba28-290c403de255&srno=b_1,"Rs. 12,999",,,"(Black, with 16 GB)",,Moto G (2nd Gen)
http://www.flipkart.com/nokia-130/p/itme3m7xjezdq86t?pid=MOBEFYX4XP4V9XH3&ref=fad9151e-4d86-47b9-9b4f-dcc603afeddc&srno=b_22,"Rs. 1,604",,,(Black),,Nokia 130
http://www.flipkart.com/xolo-a500s-lite/p/itme5hwk38xg2ahd?pid=MOBDXSGPRQT6ZWEM&ref=2a6c9dcc-3ddc-48c9-ae1f-b94aa98d6e21&srno=b_209,"Rs. 4,093",,,(White),,XOLO A500s Lite
http://www.flipkart.com/nokia-105/p/itme5hwpyhf6j92b?pid=MOBDKYZKQPYFNCZ7&ref=5c188856-bdcb-431e-ba28-290c403de255&srno=b_20,"Rs. 1,106",,,(Black),,Nokia 105
http://www.flipkart.com/micromax-canvas-knight-a350/p/itme5hx9mvcvshuf?pid=MOBDUYY8CHZZRSGK&ref=ea1ac696-30ca-4cc0-b07a-92d975d5a229&srno=b_293,"Rs. 25,999",,,(Black & Gold),,Micromax Canvas Knight A350
http://www.flipkart.com/forme-forever-f8-plus/p/itme3g88e5rb3gsr?pid=MOBDU7V4KQHRFN6Z&ref=24ec86fb-87b1-4d91-88c3-5f4374341080&srno=b_336,Rs. 787,,,(Silver),,Forme Forever F8 Plus
http://www.flipkart.com/sony-xperia-e1-dual/p/itme5hwhx3z8euk3?pid=MOBDUY5YDGPE7TYC&primarySection=SELLER_TABLE&ref=17c5e0a8-2f2f-4049-9429-b8ff4c1a2464&sellersSortedBy=PRICE&srno=b_250,"Rs. 6,419",,,(Black),,Sony Xperia E1 Dual
http://www.flipkart.com/microsoft-lumia-532/p/itme4xhgdrxxj7zh?pid=MOBE4EMYGA5YRKGY&primarySection=SELLER_TABLE&ref=3099fc26-8260-44d0-a008-882b735b7deb&sellersSortedBy=PRICE&srno=b_314,"Rs. 6,450",,,(Black),,Microsoft Lumia 532
http://www.flipkart.com/nokia-asha-501/p/itme5hx8uva8wsck?pid=MOBDHX4WU66SG3HU&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_272,"Rs. 4,000",,,(White),,Nokia Asha 501
http://www.flipkart.com/sony-xperia-e1-dual/p/itme5hwhx3z8euk3?pid=MOBDUY5YDGPE7TYC&ref=17c5e0a8-2f2f-4049-9429-b8ff4c1a2464&srno=b_250,"Rs. 6,419",,,(Black),,Sony Xperia E1 Dual
http://www.flipkart.com/htc-desire-516/p/itme5kwhpjvncqff?pid=MOBDXSVHDG77DVYE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_253,"Rs. 9,600",,,(Pearl White),,HTC Desire 516
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,(White),,Moto E (1st Gen)
http://www.flipkart.com/spice-flo-rainbow-m-6111/p/itmdx8mgfatfraqz?pid=MOBDX8MFDETZWFZX&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_335,"Rs. 2,299",,,(Blue),,Spice Flo Rainbow M-6111
http://www.flipkart.com/spice-flo-rainbow-m-6111/p/itmdx8mgfatfraqz?pid=MOBDX8MFDETZWFZX&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_335,"Rs. 2,299",,,(Blue),,Spice Flo Rainbow M-6111
http://www.flipkart.com/xolo-a500-club/p/itme5mwyjybb9zv2?pid=MOBDTKHJ4TMTH4T5&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_334,"Rs. 5,290",,,(Black),,XOLO A500 Club
http://www.flipkart.com/gionee-long-l700/p/itme5hwtezdm4haq?pid=MOBDZRKCK7BHMHAH&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_331,"Rs. 1,855",,,(Black),,Gionee Long L700
http://www.flipkart.com/gionee-long-l700/p/itme5hwtezdm4haq?pid=MOBDZRKCK7BHMHAH&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_331,"Rs. 1,855",,,(Black),,Gionee Long L700
http://www.flipkart.com/lava-discover-neo/p/itme3hfk9zqchftd?pid=MOBDYWY9WHZGGY2F&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_333,"Rs. 1,799",,,(Grey),,Lava Discover Neo
http://www.flipkart.com/sony-xperia-m-dual/p/itme5hvhrdgftctx?pid=MOBDN9RGGGZGAUM2&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_332,"Rs. 10,490",,,(White),,Sony Xperia M Dual
http://www.flipkart.com/gionee-marathon-m3/p/itme3fkbmrhqsmqs?pid=MOBE3FK8GEGBM5ST&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_330,"Rs. 11,887",,,(Black),,Gionee Marathon M3
http://www.flipkart.com/sony-xperia-m-dual/p/itme5hvhrdgftctx?pid=MOBDN9RGGGZGAUM2&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_332,"Rs. 10,490",,,(White),,Sony Xperia M Dual
http://www.flipkart.com/intex-aqua-v4/p/itme5hwszsaqjbtc?pid=MOBE2WCUQ93RGPZH&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_327,"Rs. 3,899",,,(Black and Gold),,Intex Aqua V4
http://www.flipkart.com/xolo-8x-1000/p/itmdzdskgv3mrpek?pid=MOBDZDSKPZZTCKSW&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_329,"Rs. 9,999",,,(Black),,XOLO 8X-1000
http://www.flipkart.com/lava-discover-136s/p/itmdwh66zu9hkxzh?pid=MOBDWH65GDCSUQDE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_328,"Rs. 1,969",,,(Champagne),,Lava Discover 136S
http://www.flipkart.com/blackberry-curve-9320/p/itme3h5zwctrx9wv?pid=MOBD9Y77UJAWNZRH&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_326,"Rs. 8,500",,,(Black),,Blackberry Curve 9320
http://www.flipkart.com/lava-c11s/p/itme3hfmhauckecz?pid=MOBEFCWVHDRBDPXT&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_325,"Rs. 1,319",,,(Grey),,Lava C11s
http://www.flipkart.com/micromax-bolt-a067/p/itme5hwffawtfyyb?pid=MOBDZ2ZFXAVVV4SU&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_324,"Rs. 4,689",,,(White),,Micromax Bolt A067
http://www.flipkart.com/micromax-bolt-a067/p/itme5hwffawtfyyb?pid=MOBDZ2ZFXAVVV4SU&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_324,"Rs. 4,689",,,(White),,Micromax Bolt A067
http://www.flipkart.com/sony-xperia-c3/p/itme5kwnxjsc7sqg?pid=MOBDZB9GBJDVAX3D&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_323,"Rs. 19,496",,,(Snow White),,Sony Xperia C3
http://www.flipkart.com/blackberry-curve-9320/p/itme3h5zwctrx9wv?pid=MOBD9Y77UJAWNZRH&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_326,"Rs. 8,500",,,(Black),,Blackberry Curve 9320
http://www.flipkart.com/micromax-canvas-4-a210/p/itme5hvmr2m4f3qr?pid=MOBDMHJZZSE7P5YH&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_321,"Rs. 9,499",,,(Grey),,Micromax Canvas 4 A210
http://www.flipkart.com/samsung-galaxy-grand-neo-gt-i9060/p/itme5hwnhxtzzmu6?pid=MOBDTGFZWG3BH4KA&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_322,"Rs. 12,299",,,(Midnight Black),,Samsung Galaxy Grand Neo GT-I9060
http://www.flipkart.com/panasonic-p41/p/itme45xfrmh4yk7y?pid=MOBDYQ4HM8VYYQYQ&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_319,"Rs. 7,600",,,(Black),,Panasonic P41
http://www.flipkart.com/sony-xperia-c3/p/itme5kwnxjsc7sqg?pid=MOBDZB9GBJDVAX3D&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_323,"Rs. 19,496",,,(Snow White),,Sony Xperia C3
http://www.flipkart.com/apple-iphone-6/p/itme3m7xkkqzrqdt?pid=MOBEYHZ2VSVKHAZH&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_320,"Rs. 61,459",,,"(Gold, with 64 GB)",,Apple iPhone 6
http://www.flipkart.com/samsung-galaxy-grand-neo-gt-i9060/p/itme5hwnhxtzzmu6?pid=MOBDTGFZ8BRJVGS3&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_318,"Rs. 12,399",,,(White),,Samsung Galaxy Grand Neo GT-I9060
http://www.flipkart.com/apple-iphone-6/p/itme3m7xkkqzrqdt?pid=MOBEYHZ2VSVKHAZH&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_320,"Rs. 61,459",,,"(Gold, with 64 GB)",,Apple iPhone 6
http://www.flipkart.com/samsung-galaxy-s4-i9500/p/itmdv6f4bazcv86p?pid=MOBDK7U9KZZKWZ9T&primarySection=SELLER_TABLE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&sellersSortedBy=PRICE&srno=b_317,"Rs. 23,480",,,(White Frost),,Samsung Galaxy S4 I9500
http://www.flipkart.com/iball-senior-aasaan2/p/itmdshm83nrmwehe?pid=MOBDSHMAFTZCYUCE&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_316,"Rs. 2,830",,,(White),,iBall Senior Aasaan2
http://www.flipkart.com/samsung-tizen-z1/p/itme43hezhrdxqgz?pid=MOBE43HED5TFAYGK&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_270,"Rs. 5,880",,,(White),,Samsung Tizen Z1
http://www.flipkart.com/samsung-galaxy-s4-i9500/p/itmdv6f4bazcv86p?pid=MOBDK7U9KZZKWZ9T&ref=ee3b84ee-91ac-4e25-9792-c2149f82ab20&srno=b_317,"Rs. 23,480",,,(White Frost),,Samsung Galaxy S4 I9500
http://www.flipkart.com/samsung-tizen-z1/p/itme43hezhrdxqgz?pid=MOBE43HED5TFAYGK&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_270,"Rs. 5,880",,,(White),,Samsung Tizen Z1
http://www.flipkart.com/samsung-galaxy-core-prime/p/itme44zyn2hg8ybc?pid=MOBE44ZY55GAZZZ8&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_269,"Rs. 9,350",,,(White),,Samsung Galaxy Core Prime
http://www.flipkart.com/xolo-a600/p/itme5hvqvd7dvcvv?pid=MOBDRHN9WM3HGZCG&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_268,"Rs. 5,599",,,(Black),,XOLO A600
http://www.flipkart.com/samsung-galaxy-core-prime/p/itme44zyn2hg8ybc?pid=MOBE44ZY55GAZZZ8&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_269,"Rs. 9,350",,,(White),,Samsung Galaxy Core Prime
http://www.flipkart.com/xolo-a600/p/itme5hvqvd7dvcvv?pid=MOBDRHN9WM3HGZCG&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_268,"Rs. 5,599",,,(Black),,XOLO A600
http://www.flipkart.com/sony-xperia-sp/p/itme5hw86u6gfffw?pid=MOBDJMZ2U6JFHZZH&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_267,"Rs. 14,126",,,(Black),,Sony Xperia SP
http://www.flipkart.com/panasonic-eluga-s/p/itme3hgqwd9zacvf?pid=MOBE26JUT68FESRZ&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_265,"Rs. 11,500",,,(White),,Panasonic Eluga S
http://www.flipkart.com/sony-xperia-sp/p/itme5hw86u6gfffw?pid=MOBDJMZ2D3TD35TC&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_264,"Rs. 12,499",,,(White),,Sony Xperia SP
http://www.flipkart.com/htc-desire-210-dual-sim-d210h/p/itmefwjhgwzyx8tz?pid=MOBDVZHGAFBMBAPW&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_266,"Rs. 7,300",,,(White),,HTC Desire 210 Dual Sim D210h
http://www.flipkart.com/htc-desire-210-dual-sim-d210h/p/itmefwjhgwzyx8tz?pid=MOBDVZHGAFBMBAPW&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_266,"Rs. 7,300",,,(White),,HTC Desire 210 Dual Sim D210h
http://www.flipkart.com/micromax-bolt-a58/p/itme5hwwyquhey3f?pid=MOBDPZZR65PETYZH&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_271,"Rs. 3,799",,,(Black),,Micromax Bolt A58
http://www.flipkart.com/asus-zenfone-6-a601cg/p/itme5hvrcp6mhf2t?pid=MOBDXZ9WHZMR5FPM&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_263,"Rs. 15,999",,,"(Dandy Red, with 16 GB)",,Asus Zenfone 6 A601CG
http://www.flipkart.com/blackberry-q5/p/itme5hvuz2jrurub?pid=MOBDMS6YFQPK6WXS&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_262,"Rs. 13,990",,,(Black),,BlackBerry Q5
http://www.flipkart.com/intex-aqua-3g-star/p/itme2wdyh5gg54yh?pid=MOBE2WDYFJD6KWRX&primarySection=SELLER_TABLE&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&sellersSortedBy=PRICE&srno=b_261,"Rs. 3,777",,,(Black),,Intex Aqua 3G Star
http://www.flipkart.com/intex-aqua-3g-star/p/itme2wdyh5gg54yh?pid=MOBE2WDYFJD6KWRX&ref=24ece6cb-cab8-4f85-8690-c5781500a4e7&srno=b_261,"Rs. 3,777",,,(Black),,Intex Aqua 3G Star
