product_url,product_price,product_specs,product_desc,product_pmode,product_name
http://www.flipkart.com/xolo-one/p/itme5mu5gn8k6nrn?pid=MOBE43Z2BK7DWD8W&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_736,"Rs. 6,249",,,,XOLO One
http://www.flipkart.com/htc-desire-310-dual-sim/p/itme5hux7epqvctj?pid=MOBEYJSNEKPPVSFK&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_754,"Rs. 7,514",,,,HTC Desire 310 Dual Sim
http://www.flipkart.com/swingtel-sw27/p/itme45xjdqgcgn5g?pid=MOBDQQMAWTNFFHAU&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_753,Rs. 925,,,,Swingtel SW27
http://www.flipkart.com/videocon-a54/p/itme3gdfxbqgdcmz?pid=MOBEFRBPEPZFMXFQ&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_755,"Rs. 5,399",,,,Videocon A54
http://www.flipkart.com/nokia-xl/p/itme5hvxs4dtm6ds?pid=MOBDWCUWE3EHPQH3&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_752,"Rs. 8,500",,,,Nokia XL
http://www.flipkart.com/iball-king-1-8d/p/itmefr6z4p6staby?pid=MOBEFR6Z6FEAZGKH&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_751,"Rs. 1,095",,,,iBall King 1.8D
http://www.flipkart.com/reliance-d286-gsm-cdma/p/itme5c4uhtbdgfwt?pid=MOBE5C4UJJMJHUAY&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_750,"Rs. 1,999",,,,Reliance D286 GSM CDMA
http://www.flipkart.com/nokia-xl/p/itme5hvxs4dtm6ds?pid=MOBDWCUWE3EHPQH3&primarySection=SELLER_TABLE&ref=f9755e10-4387-4e46-821b-ccf824725437&sellersSortedBy=PRICE&srno=b_752,"Rs. 8,500",,,,Nokia XL
http://www.flipkart.com/k-c-300/p/itme45vybvy9ak2q?pid=MOBEFMMWGTAJV2TN&ref=fdbf2b9f-24a8-41af-8a2d-ef29a4292304&srno=b_652,Rs. 695,,,,A & K C 300
http://www.flipkart.com/micromax-bolt-a082/p/itme3g9btckkpuky?pid=MOBEY8KWA7XVJYZH&ref=34242941-5654-41a2-850c-a37f5df4e681&srno=b_692,"Rs. 3,999",,,,Micromax Bolt A082
http://www.flipkart.com/moto-e-1st-gen/p/itme5hwms7mzfjr2?pid=MOBDVHC6TH4PZGSM,"Rs. 5,999",,,,Moto E (1st Gen)
http://www.flipkart.com/xolo-q500s-ips/p/itme5hwwzrf8fcpm?pid=MOBDXVTYBAGK4ZSV&ref=589c20b3-8ee2-4665-92e9-cf573285e0ac&srno=b_712,"Rs. 4,979",,,,XOLO Q500S IPS
http://www.flipkart.com/swingtel-sw27/p/itme45xjdqgcgn5g?pid=MOBDQQMAJCZ5DEDD&ref=06d576e9-ac49-4363-abdc-fa6aebed9cd2&srno=b_778,Rs. 895,,,,Swingtel SW27
http://www.flipkart.com/huawei-ascend-g6/p/itmdwj9uq8k69yyv?pid=MOBDWJ9SSYF8WYAF&ref=6ff1a875-169e-417e-8faa-4554f144b79f&srno=b_818,"Rs. 9,900",,,,Huawei Ascend G6
http://www.flipkart.com/spice-stellar-mettle-icon-mi-506/p/itmduu5zphrwzrcc?pid=MOBDUU3FHZXZMHTU&ref=589c20b3-8ee2-4665-92e9-cf573285e0ac&srno=b_711,"Rs. 5,499",,,,Spice Stellar Mettle Icon Mi-506
http://www.flipkart.com/lava-iris-415/p/itmdwh66zgyhpjgh?pid=MOBDWH65HJGF5U8H&ref=f9755e10-4387-4e46-821b-ccf824725437&srno=b_749,"Rs. 5,195",,,,Lava Iris 415
